제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300031221,EV6,2022,2021-11-03,우수,4.012833333,92.62939903,3.708333333,0.038514067,0.071677599,88.98083341,"₩25,400,000 ","₩4,709,583 ","₩5,292,806 ","₩20,107,194 "
기아 주식회사,A0110007300201221,EV6,2022,2021-10-19,우수,3.997166667,92.18826219,3.747222222,0.038715486,0.124205838,83.70786758,"₩25,400,000 ","₩4,758,972 ","₩5,685,215 ","₩19,714,785 "
기아 주식회사,A0110007300111221,EV6,2022,2021-11-04,우수,4,92.26804226,3.705555556,0.038499639,0.137241813,82.42585474,"₩25,400,000 ","₩4,706,056 ","₩5,709,441 ","₩19,690,559 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-16,우수,4,92.26804226,3.588888889,0.037888726,0.050177871,91.19334035,"₩25,400,000 ","₩4,557,889 ","₩4,998,050 ","₩20,401,950 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-25,우수,4,92.26804226,3.647222222,0.038195404,0.0724896,88.93149962,"₩25,400,000 ","₩4,631,972 ","₩5,208,472 ","₩20,191,528 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4,92.26804226,3.594444444,0.03791804,0.100308084,86.1773876,"₩25,400,000 ","₩4,564,944 ","₩5,297,149 ","₩20,102,851 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-19,우수,4,92.26804226,3.663888889,0.038282575,0.082241959,87.94754664,"₩25,400,000 ","₩4,653,139 ","₩5,290,811 ","₩20,109,189 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-26,우수,4,92.26804226,3.644444444,0.038180856,0.071185035,89.06341089,"₩25,400,000 ","₩4,628,444 ","₩5,196,797 ","₩20,203,203 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-28,우수,4,92.26804226,3.555555556,0.037712362,0.059024145,90.3263493,"₩25,400,000 ","₩4,515,556 ","₩4,999,156 ","₩20,400,844 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.001166667,92.30089287,3.577777778,0.037830029,0.076992766,88.51772051,"₩25,400,000 ","₩4,543,778 ","₩5,133,184 ","₩20,266,816 "
기아 주식회사,A0110007300251221,EV6,2022,2021-10-19,우수,3.999,92.23988459,3.747222222,0.038715486,0.075842078,88.54424355,"₩25,400,000 ","₩4,758,972 ","₩5,374,683 ","₩20,025,317 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,우수,4.001833333,92.31966465,3.602777778,0.037961969,0.050584405,91.14536262,"₩25,400,000 ","₩4,575,528 ","₩5,020,034 ","₩20,379,966 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-25,우수,4.092833333,94.87126316,3.647222222,0.038195404,0.121155555,84.06490407,"₩25,400,000 ","₩4,631,972 ","₩5,509,995 ","₩19,890,005 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-25,우수,4.1085,95.33009137,3.647222222,0.038195404,0.117790325,84.40142708,"₩25,400,000 ","₩4,631,972 ","₩5,488,026 ","₩19,911,974 "
기아 주식회사,A0110007300061221,EV6,2022,2021-08-25,우수,4.1,95.08115266,3.897222222,0.039482767,0.116340501,84.41767319,"₩25,400,000 ","₩4,949,472 ","₩5,863,076 ","₩19,536,924 "
기아 주식회사,A0110007300061221,EV6,2022,2021-07-27,우수,4.1,95.08115266,3.975,0.039874804,0.099304788,86.08204082,"₩25,400,000 ","₩5,048,250 ","₩5,864,464 ","₩19,535,536 "
기아 주식회사,A0110007300031221,EV6,2022,2021-10-29,우수,4.1,95.08115266,3.719444444,0.038571723,0.074360637,88.70676407,"₩25,400,000 ","₩4,723,694 ","₩5,325,067 ","₩20,074,933 "
기아 주식회사,A0110007300131221,EV6,2022,2021-11-04,우수,4.1,95.08115266,3.705555556,0.038499639,0.053407183,90.80931775,"₩25,400,000 ","₩4,706,056 ","₩5,182,349 ","₩20,217,651 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-21,우수,4.1,95.08115266,3.741666667,0.038686776,0.062499362,89.88138615,"₩25,400,000 ","₩4,751,917 ","₩5,286,875 ","₩20,113,125 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-05,우수,4.1,95.08115266,3.702777778,0.038485206,0.092993247,86.85215471,"₩25,400,000 ","₩4,702,528 ","₩5,414,405 ","₩19,985,595 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-02,우수,4.1,95.08115266,3.627777778,0.038093452,0.050303191,91.16033565,"₩25,400,000 ","₩4,607,278 ","₩5,054,038 ","₩20,345,962 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-29,우수,4.1,95.08115266,3.719444444,0.038571723,0.112049097,84.93791809,"₩25,400,000 ","₩4,723,694 ","₩5,561,349 ","₩19,838,651 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,우수,4.1,95.08115266,3.705555556,0.038499639,0.126370568,83.51297924,"₩25,400,000 ","₩4,706,056 ","₩5,635,119 ","₩19,764,881 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,우수,4.1,95.08115266,3.602777778,0.037961969,0.061079276,90.09587549,"₩25,400,000 ","₩4,575,528 ","₩5,078,510 ","₩20,321,490 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.1,95.08115266,3.711111111,0.038528489,0.115950069,84.55214425,"₩25,400,000 ","₩4,713,111 ","₩5,574,206 ","₩19,825,794 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.1,95.08115266,3.711111111,0.038528489,0.072455392,88.90161194,"₩25,400,000 ","₩4,713,111 ","₩5,301,491 ","₩20,098,509 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-23,우수,4.102666667,95.15925108,3.652777778,0.038224483,0.118503826,84.3271691,"₩25,400,000 ","₩4,639,028 ","₩5,501,226 ","₩19,898,774 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,우수,4.098333333,95.03234115,3.627777778,0.038093452,0.069084906,89.28216418,"₩25,400,000 ","₩4,607,278 ","₩5,160,356 ","₩20,239,644 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-28,우수,4.0975,95.00793539,3.555555556,0.037712362,0.058294632,90.39930061,"₩25,400,000 ","₩4,515,556 ","₩4,995,122 ","₩20,404,878 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-29,우수,4.114333333,95.50452433,3.552777778,0.037697627,0.065749502,89.65528708,"₩25,400,000 ","₩4,512,028 ","₩5,032,640 ","₩20,367,360 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-19,우수,4.061,93.96039771,3.747222222,0.038715486,0.036884203,92.4400311,"₩25,400,000 ","₩4,758,972 ","₩5,148,172 ","₩20,251,828 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,우수,4.0745,94.33433654,3.705555556,0.038499639,0.068617818,89.28825426,"₩25,400,000 ","₩4,706,056 ","₩5,270,632 ","₩20,129,368 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,우수,4.076166667,94.38314805,3.591666667,0.037903386,0.072007464,89.00891504,"₩25,400,000 ","₩4,561,417 ","₩5,124,674 ","₩20,275,326 "
기아 주식회사,A0110007300131221,EV6,2022,2021-10-22,우수,4.080833333,94.51982028,3.738888889,0.038672413,0.111006925,85.03206615,"₩25,400,000 ","₩4,748,389 ","₩5,584,233 ","₩19,815,767 "
