제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300031221,EV6,2022,2021-11-03,우수,4.012833333,92.62939903,3.708333333,0.038514067,0.071677599,92.0418,"₩25,400,000 ","₩4,709,583 ","₩5,116,788 ","₩20,283,212 "
기아 주식회사,A0110007300201221,EV6,2022,2021-10-19,경고,3.997166667,92.18826219,3.747222222,0.038715486,0.124205838,91.329,"₩25,400,000 ","₩4,758,972 ","₩5,210,801 ","₩20,189,199 "
기아 주식회사,A0110007300111221,EV6,2022,2021-11-04,심각,4,92.26804226,3.705555556,0.038499639,0.137241813,52.4739,"₩25,400,000 ","₩4,706,056 ","₩8,968,374 ","₩16,431,626 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-16,우수,4,92.26804226,3.588888889,0.037888726,0.050177871,93.2702,"₩25,400,000 ","₩4,557,889 ","₩4,886,758 ","₩20,513,242 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-25,경고,4,92.26804226,3.647222222,0.038195404,0.0724896,87.5431,"₩25,400,000 ","₩4,631,972 ","₩5,291,076 ","₩20,108,924 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4,92.26804226,3.594444444,0.03791804,0.100308084,66.6941,"₩25,400,000 ","₩4,564,944 ","₩6,844,600 ","₩18,555,400 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-19,우수,4,92.26804226,3.663888889,0.038282575,0.082241959,76.0997,"₩25,400,000 ","₩4,653,139 ","₩6,114,530 ","₩19,285,470 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-26,경고,4,92.26804226,3.644444444,0.038180856,0.071185035,98.4117,"₩25,400,000 ","₩4,628,444 ","₩4,703,144 ","₩20,696,856 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-28,정상,4,92.26804226,3.555555556,0.037712362,0.059024145,54.4595,"₩25,400,000 ","₩4,515,556 ","₩8,291,585 ","₩17,108,415 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,정상,4.001166667,92.30089287,3.577777778,0.037830029,0.076992766,99.2442,"₩25,400,000 ","₩4,543,778 ","₩4,578,381 ","₩20,821,619 "
기아 주식회사,A0110007300251221,EV6,2022,2021-10-19,정상,3.999,92.23988459,3.747222222,0.038715486,0.075842078,78.7788,"₩25,400,000 ","₩4,758,972 ","₩6,040,930 ","₩19,359,070 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,우수,4.001833333,92.31966465,3.602777778,0.037961969,0.050584405,99.4425,"₩25,400,000 ","₩4,575,528 ","₩4,601,179 ","₩20,798,821 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-25,심각,4.092833333,94.87126316,3.647222222,0.038195404,0.121155555,59.2745,"₩25,400,000 ","₩4,631,972 ","₩7,814,443 ","₩17,585,557 "
