구분,업체명,주소,사업자 번호,재무정보(매출액),신용등급정보
수거/운반,인선모터스 주식회사,경기 고양시 일산동구 식사동 273-1 인선모터스자원순환센터,128-86-64645,"2,088억원",A+
수거/운반,디에이팩토리,(22724) 인천 서구 대평로 63-1 206호,744-09-02251,x,x
재활용,㈜ 이알,경남 김해시 한림면 안하로116번길 42,615-81-66797,128억원,x
재활용,㈜ 에코비트프리텍,충북 진천군 초평면 오갑리 86번지,301-81-77357,277억원,A+
재활용,고려아연㈜ 온산제련소,울산 울주군 온산읍 이진로 139 고려아연(주) 온산제련소,610-85-00992,추정X (모회사는 12조 529억),AA+
재활용,㈜ 엔에이치리사이텍컴퍼니,"경기 평택시 현덕면 현덕로 350-3, 350-4",211-88-75676,1089억,
재활용,㈜ 어스앤배터리,전남 영광군 대마면 전기차로 40,760-86-00616,x (해산예정 법인같음),x
재활용,㈜ 에이치엔티,경기 화성시 효행로 1059 801-2호,124-86-09956,61억,x
재사용,(주) 포엔,(16014) 경기 의왕시 안양판교로 82 6층 605호(포일동),368-81-01544,184억,x
주로 발주자,(재) 제주테크노파크,제주특별자치도 제주시 중앙로 217,616-82-15584,23억 (경영평가A),x
주로 발주자,한국환경공단,(22689) 인천 서구 환경로 42 종합환경연구단지,137-82-07000,x,x
,(주)비젼알앤이,경기도 화성시 향남읍 서봉로 751-18,304-81-20945,x,x
,(주)에이텍모빌리티,경기도 성남시 분당구 판교로 289,698-88-00163,"1,042억원",A+
,주식회사 시너지,울산광역시 울주군 언양읍 유니스트길 50 유니스트 산학협력관 251동 307호,855-86-01418,7억 571만원,x
,(주) 민테크,(34026) 대전 유성구 테크노2로 263-1,436-88-00186,208억원,BB-
,아이에스동서,서울특별시 강남구 학동로 231,605-85-33356,1.5조,BBB0
,굿바이카 주식회사,경기도 양주시 광적면 삼일로 77-24,390-88-00430,x,x
,성일하이텍(주),전북특별자치도 군산시 새만금북로 122 (오식도),541-81-01800,"1,362억원",BB0
,(주) 솔라라이트,(41061) 대구 동구 동내로 76 5층,502-86-12059,x,x
,태형산업,(39666) 경북 김천시 남면 농남로 1284-82 1층,462-88-01165,x,x
,주식회사 알오씨오토시스템,(18105) 경기 오산시 독산성로 425 605호,730-87-00209,x,x
,부경테크,(57055) 전남 영광군 대마면 전기차1로 183,621-08-51694,x,x
,주식회사 인터맥,(44214) 울산 북구 중산산업로 31-7 1층,620-81-30025,53억원,x
,(주)에이프로,경기도 안양시 동안구 부림로 170번길 41-14,123-81-58293,"2,001억원",BBB
,주식회사디아이씨,(44914) 울산 울주군 두동면 봉계농공길 8,620-81-10295,"7,191억원",BB0
,주식회사이투지,(63243) 제주 제주시 첨단로8길 34 이투지,616-81-52184,x,x
,우성연합주식회사,경기도 파주시 탄현면 오금로 50나동,739-86-02037,x,x
,(주)엠텍정보기술,(61008) 광주 북구 첨단과기로 333 광주테크노파크 생활지원로봇센터 109-2B호,409-86-33871,x,x
,주식회사 에바싸이클,"경기도 화성시 장안면 덕다길50번길 40, G동",594-81-03030,x,x
,(주)지에스원,경기도 파주시 광탄면 보관로 519번길 21,128-86-16158,x,x
,주식회사 비텍스,(17405) 경기 이천시 부발읍 경충대로1878번길 33 1동,535-81-03308,x,x
,주식회사 제이빌텍,충청북도 진천군 이월면 물미길 136,301-81-94768,x,x
,에스쓰리알,인천광역시 남동구 음실서로 66 (운연동),403-81-48385,634억,신용 등급 안나옴
,한국로봇융합연구원,(37666) 경북 포항시 남구 지곡로 39,506-82-10676,x,x
,주식회사 에코프로씨엔,경상북도 포항시 북구 흥해읍 영일만산단남로 3,282-86-01809,797억,신용 등급 안나옴
,신오케미칼(주) 안성공장,(17542) 경기 안성시 대덕면 만세로 145,744-85-00989,415억,신용 등급 안나옴
,(주) 다원화학,(37673) 경북 포항시 남구 청암로 67 6실험동 6212호,514-86-01628,x,x
,한국화재보험협회 부설 방재시험연구원,(12661) 경기 여주시 가남읍 경충대로 1030 한국화재보험협회 부설 방재시험연구원,126-82-02382,x,x
,부산자동차직업학교,(49224) 부산 서구 까치고개로245번길 9 카앤빌딩,603-95-24146,x,x
,주식회사 이브이씨씨,"(18541) 경기 화성시 마도면 마도로 574-35 1,2동",638-86-02340,x,x
,한국배터리산업협회,(06744) 서울 서초구 바우뫼로37길 37 산업기술진흥협회회관 8층,214-82-13546,x,x
,에너지머티리얼즈 주식회사,(03159) 서울 종로구 종로 33 24F,470-87-01873,5억,신용 등급 안나옴
,(주) 씨알메탈,(18545) 경기 화성시 송산면 송산포도로 455-21 455-21,503-86-13065,x,x
,주식회사 알디솔루션,"(55365) 전북 완주군 이서면 안전로 139 502K호, 스페이스코웍",567-87-01691,x,x
,(재) 경북하이브리드부품연구원,(38899) 경북 영천시 괴연1길 24-24,505-82-08070,x,x
,(주) 금일,(52030) 경남 함안군 산인면 싸리재로 43,617-86-23988,x,x
,태형리싸이클링,(39666) 경북 김천시 남면 농남로 1284-82 1층,510-81-25735,825억,신용 등급 안나옴
,주식회사 피엠그로우,(16006) 경기 의왕시 이미로 40 C동 207호,120-87-59505,75억,신용 등급 안나옴
,(주) 인지이솔루션,(34014) 대전 유성구 테크노2로 80-28,624-88-00139,121억,신용 등급 안나옴
,(주) 비에이에너지,(61089) 광주 북구 첨단연신로 12 B동 2층,409-86-47133,104억,보고서에 미포함
,(주) 퀀텀솔루션,(63208) 제주 제주시 중앙로 217 504호,852-88-00108,x,x
,공주대학교,(31080) 충남 천안시 서북구 천안대로 1223-24 7공학관 304호,307-83-00485,x,x
,한국전지산업협회,(06744) 서울 서초구 바우뫼로37길 37 산업기술진흥협회회관 8층,214-82-13546,x,x
,사) 울산산업기술인력양성협회,(44251) 울산 북구 진장로 34 1층,644-82-00219,x,x
,한국화학융합시험연구원,(13810) 경기 과천시 교육원로 98,107-82-14534,x,x
,(주)한국파워셀,(34014) 대전 유성구 테크노2로 80-28 KPC,624-88-00139,x,x
,사단법인 한국전기차리빌딩협회,"(10594) 경기 고양시 덕양구 통일로 140 에이동 2층 218호(동산동, 삼송테크노밸리)",614-82-67975,x,x
,(주)비엠테크,(44778) 울산 남구 납도로 222 여천동,610-86-09215,x,x
,(주) 아이윈,부산광역시 기장군 장안읍 장안산단9로 110,621-81-32365,"1,193억",B
