계약번호,판매업체,구매업체,제품구분,배터리종류,계약수량(단위당),개당가격,지급형태,총계약금액,계약보증금,계약일,총지급일
20230226002,성일하이텍(주),(주)엠텍정보기술,중고배터리,쏘울,17,"₩10,044,748",일시,"₩170,760,716","₩12,795,922",2023-02-26,2023-03-19
20220418006,한국환경공단,성일하이텍(주),폐배터리(재활용),봉고3,2,"₩496,250",일시,"₩992,500","₩49,625",2022-04-19,2023-06-29
20220812005,한국환경공단,태산시스템,폐배터리,아이오닉,1,"₩1,020,000",일시,"₩1,020,000","₩51,000",2022-08-23,2022-08-31
20231003002,주식회사 레플러스,엠에이치기술개발,중고배터리,코나,1,"₩1,526,448",분할,"₩1,526,448","₩203,874",2023-10-03,2023-10-28
20241120005,한국환경공단,(주)비젼알앤이,폐배터리,기타,3900,₩919,일시,"₩3,584,000","₩179,200",2024. 11. ,2024-12-15
20230313006,한국환경공단,원광전력(주),폐배터리,코나,1,"₩2,500,000",일시,"₩2,500,000","₩125,000",2023-03-20,2022-04-05
20231024003,한국환경공단,(주)비젼알앤이,폐배터리(재사용),아이오닉,5,"₩468,600",일시,"₩2,343,000","₩117,150",2023-10-25,2024-10-31
20240112001,한국환경공단,부경테크,폐배터리(재사용),SM3,4,"₩252,500",일시,"₩1,010,000","₩50,500",2024-01-18,2024-01-31
20231110005,한국환경공단,주식회사 삼호인넷,폐배터리(재사용),SM3,2,"₩300,000",일시,"₩600,000","₩30,000",2023-11-15,2022-07-01
20250901001,주식회사디아이씨,쌍용직업전문학교,중고배터리,CEVO,8,"₩222,621",일시,"₩1,780,968","₩133,467",2025-09-01,2025-09-20
20220907003,(재)제주테크노파크,(주)엔에이치리사이텍컴퍼니,폐배터리(재활용),스파크,91,"₩84,115",일시,"₩7,654,500","₩382,725",2022-09-16,2025-05-07
20240607004,한국환경공단,성일하이텍(주),폐배터리(외관결함),기타,3,"₩2,200,734",일시,"₩6,602,200","₩330,110",2024-06-13,2024-07-31
20250225001,한국환경공단,성일하이텍(주),폐배터리(재활용),레이,4,"₩362,175",일시,"₩1,448,700","₩72,435",2025. 2. 2,2023-04-07
20230327001,아이에스동서,(주)에이텍모빌리티,중고배터리,봉고3,17,"₩13,918,936",일시,"₩236,621,912","₩33,119,403",2023-03-29,2023-04-29
20240327002,주식회사 알오씨오토시스템,굿바이카 주식회사,중고배터리,CEVO,10,"₩6,119,899",후불,"₩61,198,990","₩5,672,667",2024-03-27,2024-05-08
20250817001,(주)에이프로,아이에스동서,중고배터리,코나,13,"₩9,005,197",일시,"₩117,067,561","₩8,617,390",2025-08-17,2025-09-25
20240829001,한국환경공단,한국로봇융합연구원,폐배터리(재활용),볼트,1,"₩770,000",일시,"₩770,000","₩38,500",2024-09-04,2024-09-20
20250704001,아이에스동서,(주) 인지이솔루션,중고배터리,코나,5,"₩3,113,243",후불,"₩15,566,215","₩1,950,118",2025-07-04,2025-07-27
20240113002,아이에스동서,한국환경공단,중고배터리,BlueOn,3,"₩10,279,426",후불,"₩30,838,278","₩4,448,032",2024-01-13,2024-02-12
20241128008,한국환경공단,사단법인 한국전기차리빌딩협회,폐배터리(재활용),아이오닉,2,"₩741,500",일시,"₩1,483,000","₩74,150",2024. 11. ,2022-12-07
20250327002,주식회사이투지,한국전지연구조합,중고배터리,쏘울,17,"₩9,484,650",일시,"₩161,239,050","₩15,884,376",2025-03-27,2025-05-02
20241031005,한국환경공단,주식회사 에코프로씨엔지,폐배터리(재활용),볼트,4,"₩610,000",분할,"₩2,440,000","₩122,000",2024. 10. ,2024-12-31
20231114002,한국환경공단,한국전지연구조합,폐배터리(재사용),쏘울,1,"₩4,500,000",일시,"₩4,500,000","₩225,000",2023-11-16,2022-10-11
20220407002,한국환경공단,(주)솔라라이트,폐배터리(재사용),SM3,2,"₩865,000",일시,"₩1,730,000","₩86,500",2022-04-07,2024-01-31
20240815001,(주)에이프로,주식회사 삼호인넷,중고배터리,봉고3,19,"₩1,439,095",분할,"₩27,342,805","₩2,289,802",2024-08-15,2024-09-28
20240917001,인선모터스 주식회사,태산시스템,중고배터리,E-FIIBIRD,11,"₩5,072,813",일시,"₩55,800,943","₩5,908,850",2024-09-17,2024-10-28
20240806001,신오케미칼(주) 안성공장,고려아연㈜ 온산제련소,중고배터리,코나,10,"₩9,929,806",일시,"₩99,298,060","₩14,663,998",2024-08-06,2024-09-05
20220418002,한국환경공단,한국전지산업협회,폐배터리,볼트,4,"₩8,420,000",일시,"₩33,680,000","₩1,684,000",2022-04-19,2023-04-07
20240809003,한국환경공단,주식회사 알오씨오토시스템,폐배터리(재사용),쏘울,5,"₩478,000",일시,"₩2,390,000","₩119,500",2024-08-12,2024-08-26
20250609001,고려아연㈜ 온산제련소,성일하이텍(주),중고배터리,트위지,18,"₩405,546",일시,"₩7,299,828","₩836,942",2025-06-09,2025-06-16
20250423001,한국환경공단,엠에이치기술개발,폐배터리,SM3,1,"₩309,450",일시,"₩309,450","₩15,473",2025. 4. 2,2022-07-12
20230213001,(주)에이프로,(재) 제주테크노파크,중고배터리,레이,6,"₩9,869,352",일시,"₩59,216,112","₩7,829,625",2023-02-13,2023-02-25
20240713001,디에이팩토리,주식회사 레플러스,중고배터리,SM3,11,"₩8,894,600",선급+잔금,"₩97,840,600","₩14,021,272",2024-07-13,2024-08-01
20241025001,한국환경공단,(주)비엠테크,폐배터리(재사용),SM3,1,"₩1,254,100",일시,"₩1,254,100","₩62,705",2024. 10. ,2023-08-30
20230331001,(주)한국파워셀,㈜ 엔에이치리사이텍컴퍼니,중고배터리,쏘울,16,"₩8,301,039",일시,"₩132,816,624","₩14,407,142",2023-03-31,2023-04-26
20250218001,한국환경공단,(주)포엔,폐배터리,쏘울,1,"₩2,331,000",일시,"₩2,331,000","₩116,550",2025. 2. 1,2022-08-10
20250313005,주식회사디아이씨,주식회사 인터맥,중고배터리,쏘울,19,"₩744,006",일시,"₩14,136,114","₩1,663,396",2025-03-13,2025-04-20
20240424001,주식회사디아이씨,태형산업,중고배터리,포터,6,"₩1,943,480",선급+잔금,"₩11,660,880","₩1,149,036",2024-04-24,2024-05-14
20240728001,주식회사 알디솔루션,태산시스템,중고배터리,쏘울,17,"₩6,260,133",일시,"₩106,422,261","₩15,218,673",2024-07-28,2024-08-03
20230313004,한국환경공단,원광전력(주),폐배터리,아이오닉,1,"₩1,000,000",분할,"₩1,000,000","₩50,000",2023-03-20,2022-05-31
20250225005,한국환경공단,부경테크,폐배터리(재사용),SM3,2,"₩190,000",일시,"₩380,000","₩19,000",2025. 2. 2,2025-03-11
20250711001,아이에스동서,(주) 솔라라이트,중고배터리,포터,2,"₩2,879,059",일시,"₩5,758,118","₩636,006",2025-07-11,2025-08-09
20240729001,주식회사 이브이씨씨,한국환경공단,중고배터리,코나,5,"₩1,512,102",일시,"₩7,560,510","₩1,038,019",2024-07-29,2024-09-06
20240509007,(재)제주테크노파크,(주)솔라라이트,폐배터리(재활용),BlueOn,1,"₩320,000",일시,"₩320,000","₩16,000",2024-05-16,2024-05-29
20230826001,(주) 민테크,(주)엠텍정보기술,중고배터리,쏘울,9,"₩335,836",일시,"₩3,022,524","₩356,223",2023-08-26,2023-09-24
20240109001,(주) 비에이에너지,사단법인 한국전기차리빌딩협회,중고배터리,니로,19,"₩4,494,154",일시,"₩85,388,926","₩11,694,164",2024-01-09,2024-01-15
20250403001,고려아연㈜ 온산제련소,디에이팩토리,중고배터리,아이오닉,7,"₩9,126,417",일시,"₩63,884,919","₩5,104,792",2025. 2. 2,2025-04-17
20250114003,한국환경공단,(주)솔라라이트,폐배터리(재사용),코나,1,"₩1,500,000",일시,"₩1,500,000","₩75,000",2025. 1. 1,2025-01-31
